Strategy Actions: 47
Action Type: PLACE, Tower ID: 1, Position: (100, 250), Tower Type: Dart Monkey, Path: -1, Round: 1
Action Type: UPGRADE, Tower ID: 1, Position: (100, 250), Tower Type: Dart Monkey, Path: 0, Round: 1
Action Type: PLACE, Tower ID: 2, Position: (300, 400), Tower Type: Ice Monkey, Path: -1, Round: 3
Action Type: UPGRADE, Tower ID: 2, Position: (300, 400), Tower Type: Ice Monkey, Path: 2, Round: 3
Action Type: PLACE, Tower ID: 3, Position: (200, 400), Tower Type: Bomb Shooter, Path: -1, Round: 5
Action Type: PLACE, Tower ID: 4, Position: (598, 147), Tower Type: Alchemist, Path: -1, Round: 7
Action Type: PLACE, Tower ID: 6, Position: (668, 668), Tower Type: Ninja Monkey, Path: -1, Round: 11
Action Type: PLACE, Tower ID: 7, Position: (242, 165), Tower Type: Ninja Monkey, Path: -1, Round: 12
Action Type: UPGRADE, Tower ID: 6, Position: (668, 668), Tower Type: Ninja Monkey, Path: 0, Round: 14
Action Type: UPGRADE, Tower ID: 3, Position: (200, 400), Tower Type: Bomb Shooter, Path: 2, Round: 14
Action Type: UPGRADE, Tower ID: 1, Position: (100, 250), Tower Type: Dart Monkey, Path: 2, Round: 14
Action Type: PLACE, Tower ID: 8, Position: (73, 364), Tower Type: Hero, Path: -1, Round: 16
Action Type: UPGRADE, Tower ID: 2, Position: (300, 400), Tower Type: Ice Monkey, Path: 0, Round: 17
Action Type: UPGRADE, Tower ID: 1, Position: (100, 250), Tower Type: Dart Monkey, Path: 0, Round: 17
Action Type: PLACE, Tower ID: 9, Position: (741, 671), Tower Type: Alchemist, Path: -1, Round: 19
Action Type: UPGRADE, Tower ID: 1, Position: (100, 250), Tower Type: Dart Monkey, Path: 2, Round: 20
Action Type: PLACE, Tower ID: 10, Position: (616, 281), Tower Type: Ninja Monkey, Path: -1, Round: 21
Action Type: PLACE, Tower ID: 11, Position: (647, 367), Tower Type: Ninja Monkey, Path: -1, Round: 22
Action Type: UPGRADE, Tower ID: 10, Position: (616, 281), Tower Type: Ninja Monkey, Path: 2, Round: 23
Action Type: PLACE, Tower ID: 12, Position: (255, 138), Tower Type: Ninja Monkey, Path: -1, Round: 24
Action Type: PLACE, Tower ID: 13, Position: (886, 91), Tower Type: Alchemist, Path: -1, Round: 26
Action Type: PLACE, Tower ID: 14, Position: (950, 396), Tower Type: Ninja Monkey, Path: -1, Round: 27
Action Type: UPGRADE, Tower ID: 13, Position: (886, 91), Tower Type: Alchemist, Path: 2, Round: 28
Action Type: UPGRADE, Tower ID: 10, Position: (616, 281), Tower Type: Ninja Monkey, Path: 2, Round: 29
Action Type: UPGRADE, Tower ID: 14, Position: (950, 396), Tower Type: Ninja Monkey, Path: 1, Round: 30
Action Type: UPGRADE, Tower ID: 13, Position: (886, 91), Tower Type: Alchemist, Path: 1, Round: 30
Action Type: PLACE, Tower ID: 15, Position: (76, 526), Tower Type: Ninja Monkey, Path: -1, Round: 31
Action Type: PLACE, Tower ID: 16, Position: (953, 240), Tower Type: Ninja Monkey, Path: -1, Round: 32
Action Type: UPGRADE, Tower ID: 6, Position: (668, 668), Tower Type: Ninja Monkey, Path: 0, Round: 33
Action Type: UPGRADE, Tower ID: 1, Position: (100, 250), Tower Type: Dart Monkey, Path: 0, Round: 34
Action Type: UPGRADE, Tower ID: 16, Position: (953, 240), Tower Type: Ninja Monkey, Path: 0, Round: 34
Action Type: UPGRADE, Tower ID: 9, Position: (741, 671), Tower Type: Alchemist, Path: 0, Round: 35
Action Type: PLACE, Tower ID: 17, Position: (760, 360), Tower Type: Ninja Monkey, Path: -1, Round: 36
Action Type: PLACE, Tower ID: 18, Position: (167, 174), Tower Type: Ninja Monkey, Path: -1, Round: 36
Action Type: PLACE, Tower ID: 19, Position: (395, 680), Tower Type: Alchemist, Path: -1, Round: 36
Action Type: PLACE, Tower ID: 20, Position: (220, 234), Tower Type: Alchemist, Path: -1, Round: 36
Action Type: PLACE, Tower ID: 21, Position: (433, 521), Tower Type: Ninja Monkey, Path: -1, Round: 36
Action Type: UPGRADE, Tower ID: 15, Position: (76, 526), Tower Type: Ninja Monkey, Path: 0, Round: 37
Action Type: UPGRADE, Tower ID: 19, Position: (395, 680), Tower Type: Alchemist, Path: 2, Round: 37
Action Type: UPGRADE, Tower ID: 14, Position: (950, 396), Tower Type: Ninja Monkey, Path: 0, Round: 38
Action Type: UPGRADE, Tower ID: 12, Position: (255, 138), Tower Type: Ninja Monkey, Path: 2, Round: 39
Action Type: UPGRADE, Tower ID: 7, Position: (242, 165), Tower Type: Ninja Monkey, Path: 1, Round: 39
Action Type: UPGRADE, Tower ID: 19, Position: (395, 680), Tower Type: Alchemist, Path: 0, Round: 39
Action Type: UPGRADE, Tower ID: 11, Position: (647, 367), Tower Type: Ninja Monkey, Path: 0, Round: 39
Action Type: UPGRADE, Tower ID: 3, Position: (200, 400), Tower Type: Bomb Shooter, Path: 0, Round: 39
Action Type: UPGRADE, Tower ID: 18, Position: (167, 174), Tower Type: Ninja Monkey, Path: 2, Round: 39
Action Type: UPGRADE, Tower ID: 1, Position: (100, 250), Tower Type: Dart Monkey, Path: 0, Round: 40
