Towers placed: 25
Tower ID: 1, Type: Dart Monkey, Position: (100, 250), Cross Pathing: 202, Round Placed: 1
Tower ID: 2, Type: Ice Monkey, Position: (300, 400), Cross Pathing: 201, Round Placed: 3
Tower ID: 3, Type: Bomb Shooter, Position: (200, 400), Cross Pathing: 102, Round Placed: 5
Tower ID: 4, Type: Hero, Position: (743, 101), Cross Pathing: 000, Round Placed: 7
Tower ID: 5, Type: Ninja Monkey, Position: (778, 139), Cross Pathing: 101, Round Placed: 9
Tower ID: 6, Type: Ninja Monkey, Position: (201, 693), Cross Pathing: 012, Round Placed: 11
Tower ID: 7, Type: Ninja Monkey, Position: (169, 532), Cross Pathing: 101, Round Placed: 14
Tower ID: 8, Type: Ninja Monkey, Position: (288, 213), Cross Pathing: 001, Round Placed: 15
Tower ID: 9, Type: Ninja Monkey, Position: (226, 366), Cross Pathing: 210, Round Placed: 22
Tower ID: 10, Type: Ninja Monkey, Position: (730, 575), Cross Pathing: 100, Round Placed: 23
Tower ID: 11, Type: Ninja Monkey, Position: (339, 655), Cross Pathing: 001, Round Placed: 24
Tower ID: 12, Type: Ninja Monkey, Position: (943, 283), Cross Pathing: 000, Round Placed: 26
Tower ID: 13, Type: Alchemist, Position: (486, 217), Cross Pathing: 013, Round Placed: 28
Tower ID: 14, Type: Alchemist, Position: (575, 501), Cross Pathing: 010, Round Placed: 29
Tower ID: 15, Type: Ninja Monkey, Position: (61, 182), Cross Pathing: 000, Round Placed: 37
Tower ID: 16, Type: Alchemist, Position: (198, 264), Cross Pathing: 000, Round Placed: 37
Tower ID: 17, Type: Ninja Monkey, Position: (195, 211), Cross Pathing: 000, Round Placed: 39
Tower ID: 18, Type: Alchemist, Position: (985, 470), Cross Pathing: 000, Round Placed: 39
Tower ID: 19, Type: Ninja Monkey, Position: (294, 489), Cross Pathing: 000, Round Placed: 39
Tower ID: 20, Type: Alchemist, Position: (799, 209), Cross Pathing: 000, Round Placed: 39
Tower ID: 21, Type: Ninja Monkey, Position: (861, 573), Cross Pathing: 000, Round Placed: 39
Tower ID: 22, Type: Ninja Monkey, Position: (767, 678), Cross Pathing: 000, Round Placed: 40
Tower ID: 23, Type: Alchemist, Position: (606, 101), Cross Pathing: 000, Round Placed: 40
Tower ID: 24, Type: Alchemist, Position: (880, 423), Cross Pathing: 000, Round Placed: 40
Tower ID: 25, Type: Alchemist, Position: (315, 287), Cross Pathing: 000, Round Placed: 40
