Strategy Actions: 146
Action Type: PLACE, Tower ID: 1, Position: (417, 397), Tower Type: Hero, Path: -1, Round: 6
Action Type: PLACE, Tower ID: 2, Position: (793, 162), Tower Type: Dart Monkey, Path: -1, Round: 7
Action Type: PLACE, Tower ID: 3, Position: (324, 368), Tower Type: Boomerang Monkey, Path: -1, Round: 9
Action Type: PLACE, Tower ID: 4, Position: (692, 193), Tower Type: Glue Gunner, Path: -1, Round: 10
Action Type: PLACE, Tower ID: 5, Position: (145, 690), Tower Type: Wizard Monkey, Path: -1, Round: 11
Action Type: PLACE, Tower ID: 6, Position: (912, 666), Tower Type: Dart Monkey, Path: -1, Round: 12
Action Type: PLACE, Tower ID: 7, Position: (82, 506), Tower Type: Dart Monkey, Path: -1, Round: 13
Action Type: UPGRADE, Tower ID: 6, Position: (912, 666), Tower Type: Dart Monkey, Path: 1, Round: 14
Action Type: UPGRADE, Tower ID: 7, Position: (82, 506), Tower Type: Dart Monkey, Path: 1, Round: 14
Action Type: UPGRADE, Tower ID: 7, Position: (82, 506), Tower Type: Dart Monkey, Path: 1, Round: 15
Action Type: UPGRADE, Tower ID: 2, Position: (793, 162), Tower Type: Dart Monkey, Path: 2, Round: 15
Action Type: UPGRADE, Tower ID: 4, Position: (692, 193), Tower Type: Glue Gunner, Path: 1, Round: 16
Action Type: UPGRADE, Tower ID: 2, Position: (793, 162), Tower Type: Dart Monkey, Path: 1, Round: 16
Action Type: UPGRADE, Tower ID: 6, Position: (912, 666), Tower Type: Dart Monkey, Path: 2, Round: 17
Action Type: UPGRADE, Tower ID: 3, Position: (324, 368), Tower Type: Boomerang Monkey, Path: 2, Round: 17
Action Type: UPGRADE, Tower ID: 7, Position: (82, 506), Tower Type: Dart Monkey, Path: 2, Round: 17
Action Type: UPGRADE, Tower ID: 4, Position: (692, 193), Tower Type: Glue Gunner, Path: 2, Round: 19
Action Type: UPGRADE, Tower ID: 2, Position: (793, 162), Tower Type: Dart Monkey, Path: 1, Round: 19
Action Type: PLACE, Tower ID: 8, Position: (701, 87), Tower Type: Tack Shooter, Path: -1, Round: 20
Action Type: UPGRADE, Tower ID: 7, Position: (82, 506), Tower Type: Dart Monkey, Path: 2, Round: 21
Action Type: UPGRADE, Tower ID: 2, Position: (793, 162), Tower Type: Dart Monkey, Path: 2, Round: 22
Action Type: UPGRADE, Tower ID: 8, Position: (701, 87), Tower Type: Tack Shooter, Path: 2, Round: 22
Action Type: PLACE, Tower ID: 9, Position: (184, 595), Tower Type: Glue Gunner, Path: -1, Round: 23
Action Type: PLACE, Tower ID: 10, Position: (933, 375), Tower Type: Dart Monkey, Path: -1, Round: 24
Action Type: PLACE, Tower ID: 11, Position: (106, 130), Tower Type: Dart Monkey, Path: -1, Round: 25
